45 33
#...........................................#
#............................#
#.................######.....#
#...........#    #...........#
#................#    #......#
#................#    #......#
#............................#
#................######......#
#................#    #......#
#................#    #......#
#................#    #......#
#............................#
#................######......#
#................#    #......#
#................#    #......#
#................#    #......#
#................######......#
#............................#
#................######......#
#................#    #......#
#...........#    #...........#
#...........#    #...........#
#...........######...........#
#............................#
#...........######...........#
#...........#    #...........#
#................#    #......#
#................######......#
#............................#
#................######......#
#................#    #......#
#................#    #......#
#@..........................................#
